player_id,name,hand,ht,country_id
134868,Tallon Griekspoor,R,,NED
123755,Daniel Elahi Galan,R,191,COL
126205,Tommy Paul,R,185,USA
106232,Roberto Cid,R,,DOM
200514,Jurij Rodionov,L,,AUT
122330,Alexander Bublik,R,196,KAZ
104297,Rogerio Dutra Silva,R,178,BRA
134770,Casper Ruud,R,183,NOR
104735,Tobias Kamke,R,180,GER
105487,Facundo Bagnis,L,183,ARG
106249,Joao Domingues,R,,POR
106005,Constant Lestienne,R,,FRA
105634,Viktor Galovic,R,,ITA
105782,Enrique Lopez Perez,R,,ESP
105385,Donald Young,L,183,USA
133297,Yosuke Watanuki,R,,JPN
126952,Soon Woo Kwon,R,180,KOR
105065,Tim Smyczek,R,175,USA
105041,Lukas Lacko,R,185,SVK
106353,Pedja Krstin,R,,SRB
110748,Nikola Milojevic,R,188,SRB
123921,Calvin Hemery,R,,FRA
200466,Alexander Crnokrak,R,,AUS
111460,Quentin Halys,R,,FRA
106293,Kimmer Coppejans,R,,BEL
200221,Alejandro Davidovich Fokina,R,183,ESP
104424,Go Soeda,R,178,JPN
200624,Sebastian Korda,R,196,USA
106228,Juan Ignacio Londero,R,,ARG
103990,Tommy Robredo,R,180,ESP
106214,Oscar Otte,R,,GER
106099,Salvatore Caruso,R,185,ITA
106105,Guilherme Clezar,R,,BRA
105300,Sergio Gutierrez Ferrol,R,,ESP
124014,Ernesto Escobedo,R,,USA
105641,Blaz Rola,L,,SLO
106361,Adam Pavlasek,R,,CZE
105633,Mohamed Safwat,R,183,EGY
144645,Zdenek Kolar,R,,CZE
136440,Dominik Koepfer,L,180,GER
104460,Dustin Brown,R,196,GER
104122,Carlos Berlocq,R,183,ARG
105655,Hiroki Moriya,R,,JPN
208014,Rinky Hijikata,U,,AUS
105561,Alessandro Giannessi,L,183,ITA
104932,Kenny De Schepper,L,203,FRA
105906,Kevin Krawietz,R,190,GER
105943,Federico Gaio,R,,ITA
104629,Adrian Menendez Maceiras,R,,ESP
106328,Christian Harrison,R,,USA
105985,Darian King,R,,BAR
106072,Alexey Vatutin,R,,RUS
106110,Filip Horansky,R,,SVK
103917,Nicolas Mahut,R,190,FRA
105064,Thomaz Bellucci,L,188,BRA
111795,Filippo Baldi,R,,ITA
120424,Yannick Maden,R,185,GER
121531,Mats Moraing,L,,GER
106291,Luke Saville,R,,AUS
111511,Noah Rubin,R,,USA
117361,Akira Santillan,R,,AUS
126125,Maxime Janvier,R,,FRA
111574,Jc Aragone,R,,USA
106296,Gregoire Barrere,R,183,FRA
117353,Duck Hee Lee,R,,KOR
126846,Aleksandar Vukic,R,,AUS
201329,Vera Zvonareva,R,172,RUS
202491,Varvara Flink,R,,RUS
202437,Anastasia Grymalska,R,,ITA
201542,Olivia Rogowska,R,,AUS
215290,Katarina Zavatska,R,,UKR
202701,Irina Khromacheva,L,,RUS
202482,Barbara Haas,R,,AUT
201664,Pemra Ozgen,R,,TUR
201501,Olga Govortsova,R,182,BLR
201562,Silvia Soler Espinosa,R,,ESP
215804,Kaylah Mcphee,U,,AUS
210303,Kathinka Von Deichmann,R,,LIE
203569,Olga Doroshina,L,,RUS
213525,Jil Belen Teichmann,L,,SUI
201529,Kristie Ahn,R,,USA
213602,Gabriella Taylor,R,,GBR
202440,Paula Ormaechea,R,,ARG
204291,Na Lae Han,L,,KOR
202467,Elitsa Kostova,R,,BUL
215042,Katie Swan,R,170,GBR
204394,Valentini Grammatikopoulou,U,,GRE
210705,Irina Maria Bara,R,,ROU
202493,Ekaterine Gorgodze,L,,GEO
202702,Tereza Smitkova,R,,CZE
215550,Ayano Shimizu,U,,JPN
211843,Anhelina Kalinina,R,,UKR
203325,Martina Di Giuseppe,U,,ITA
211222,Jamie Loeb,R,,USA
214643,Ludmilla Samsonova,R,,RUS
215832,Gabriella Da Silva Fick,R,,AUS
201613,Arina Rodionova,R,,RUS
211901,Aliona Bolsova,R,,MDA
202488,Valentyna Ivakhnenko,R,,UKR
203398,Danielle Lao,R,,USA
203288,Jia Jing Lu,R,,CHN
201606,Rebecca Marino,R,,CAN
211148,Jasmine Paolini,R,,ITA
205723,Anna Zaja,R,,GER
206124,Tereza Martincova,R,,CZE
212034,Fang Ying Xun,U,,CHN
216016,Xiyu Wang,L,,CHN
214906,Claire Liu,R,170,USA
204430,Antonia Lottner,R,,GER
211702,Nao Hibino,R,163,JPN
206408,Nadia Podoroska,U,170,ARG
202628,Maryna Zanevska,R,,UKR
206045,Quirine Lemoine,L,,NED
201554,Vitalia Diatchenko,R,170,RUS
211407,Dejana Radanovic,U,,SRB
202450,Jana Cepelova,R,168,SVK
203281,Amandine Hesse,R,,FRA
204246,Lesley Kerkhove,R,,NED
206102,Ankita Raina,R,,IND
202707,Myrtille Georges,R,,FRA
202653,Denisa Allertova,R,,CZE
211736,Ivana Jorovic,R,,SRB
201580,Xinyun Han,L,,CHN
201534,Asia Muhammed,R,,USA
201402,Sesil Karatantcheva,R,171,KAZ
211719,Shilin Xu,R,,CHN
213779,Raluca Georgiana Serban,R,,ROU
203564,Chloe Paquet,R,,FRA
214981,Elena Rybakina,R,184,KAZ
202579,Giulia Gatto Monticone,R,,ITA
203354,Martina Trevisan,L,,ITA
213941,Anastasia Zarytska,U,,UKR
201674,Sabina Sharipova,R,,UZB
213544,Jana Fett,R,,CRO
215096,Jaimee Fourlis,R,,AUS
202659,Tereza Mrdeza,R,,CRO
206251,Kimberley Zimmermann,R,,BEL
206252,Barbora Krejcikova,R,178,CZE
214684,Katherine Sebov,U,,CAN
202705,Veronica Cepede Royg,R,,PAR
202480,Richel Hogenkamp,R,,NED
201551,Arantxa Rus,L,180,NED
206390,Isabelle Wallace,L,,AUS
201513,Sabine Lisicki,R,178,GER
201648,Naomi Broady,R,189,GBR
202916,Georgina Garcia Perez,U,,ESP
214541,Fanny Stollar,R,172,HUN
202508,Yuxuan Zhang,R,,CHN
203575,Danka Kovinic,R,,MNE
203578,Fangzhou Liu,R,,CHN
202457,Bibiane Schoofs,R,170,NED
215314,En Shuo Liang,U,,TPE
202504,Ying Ying Duan,R,,CHN
214694,Karman Thandi,U,,IND
202489,Carina Witthoeft,R,,GER
201616,Lauren Davis,R,157,USA
215219,Kaja Juvan,R,,SLO
106398,Pedro Cachin,R,,ARG
205734,Thiago Seyboth Wild,R,,BRA
106198,Hugo Dellien,R,,BOL
105948,Federico Coria,R,,ARG
202103,Francisco Cerundolo,R,,ARG
105911,Andrea Collarini,L,,ARG
207680,Facundo Diaz Acosta,L,,ARG
106032,Facundo Arguello,R,,ARG
105559,Jonathan Eysseric,L,180,FRA
206758,Antoine Cornut Chauvinc,U,,FRA
126127,Benjamin Bonzi,R,,FRA
200247,Alexandar Lazarov,R,,BUL
202090,Adrian Andreev,R,,BUL
106220,Dimitar Kuzmanov,R,,BUL
126328,Gabriel Donev,R,,BUL
111200,Elias Ymer,R,,SWE
126663,Juan Pablo Ficovich,R,,ARG
202106,Juan Bautista Otegui,R,,ARG
200368,Jack Mingjie Lin,R,,CAN
105398,Adam El Mihdawy,U,,USA
105933,Roberto Quiroz,L,,ECU
202318,Roy Smith,U,,USA
207992,Cannon Kingsley,U,,USA
125847,Jelle Sels,U,,NED
105691,Scott Griekspoor,R,,NED
207764,Ryan Nijboer,U,,NED
105223,Juan Martin del Potro,R,198,ARG
111577,Jared Donaldson,R,,USA
208186,Preston Brown,U,,USA
124186,Alexandre Muller,R,,FRA
202178,Mateus De Carvalho Cardoso Alves,R,,BRA
208372,Natan Rodrigues,U,,BRA
122425,Rafael Matos,U,,BRA
126204,Gerardo Lopez Villasenor,U,,MEX
207182,Emilio Nava,R,,USA
213887,Renata Zarazua,R,,MEX
106250,Luis Patino,R,,MEX
207834,Juan Alejandro Hernandez Serrano,R,,MEX
105751,Roberto Ortega Olmedo,U,,ESP
106412,Lucas Gomez,U,,MEX
105302,Ante Pavic,R,,CRO
105877,Emilio Gomez,R,,ECU
202436,Reka Luca Jani,R,,HUN
211874,Victoria Rodriguez,U,,MEX
215019,Maria Jose Portillo Ramirez,R,,MEX
204419,Ana Sofia Sanchez,L,,MEX
205892,Giuliana Olmos,R,,MEX
200278,Simon Carr,R,,IRL
105747,Karim Mohamed Maamoun,R,,EGY
106203,Pedro Sakamoto,R,,BRA
110778,Joao Menezes,R,,BRA
105154,Joao Souza,R,193,BRA
200553,Alen Avidzba,R,,RUS
106218,Marcos Giron,R,180,USA
216083,Caty Mcnally,R,,USA
202468,Jessica Pegula,R,170,USA
111765,Evan Song,U,,USA
106075,Jozef Kovalik,R,,SVK
200670,J.J. Wolf,R,,USA
105132,Jurgen Zopp,R,190,EST
215371,Francesca Di Lorenzo,L,,USA
216373,Zoe Kruger,U,,RSA
201506,Sara Errani,R,164,ITA
214728,Ashley Kratzer,L,,USA
202498,Julia Glushko,R,,ISR
202358,Chun Hsin Tseng,R,,TPE
144707,Mikael Ymer,R,183,SWE
216133,Xin Yu Wang,R,182,CHN
221103,Cori Gauff,R,175,USA
211390,Mari Osaka,U,,JPN
204431,Anna Lena Friedsam,R,,GER
208527,Zane Khan,U,,USA
221012,Qinwen Zheng,R,,CHN
105053,Santiago Giraldo,R,188,COL
105649,Cedrik Marcel Stebe,L,183,GER
104467,Lamine Ouahab,R,185,ALG
200611,Elliot Benchetrit,R,,FRA
106348,Evgeny Karlovskiy,R,,RUS
125842,Adam Moundir,R,,SUI
200031,Lucas Catarina,R,,MON
132842,Julian Ocleppo,R,,ITA
105714,Hugo Nys,R,,MON
106033,Romain Arneodo,R,,FRA
105851,Florent Diep,U,,FRA
207989,Carlos Alcaraz Garfia,R,185,ESP
105226,Attila Balazs,R,180,HUN
206173,Jannik Sinner,R,188,ITA
200218,Mate Valkusz,R,,HUN
200436,Zsombor Piros,R,,HUN
105671,Gastao Elias,R,178,POR
126623,Alexander Erler,U,,AUT
105870,Yannick Hanfmann,R,193,GER
104755,Richard Gasquet,R,185,FRA
201320,Svetlana Kuznetsova,R,174,RUS
208094,Jorge Plans,U,,ESP
109640,Andrea Basso,L,,ITA
220714,Elisabetta Cocciaretto,R,,ITA
202235,Jacopo Berrettini,U,,ITA
133045,Riccardo Balzerani,R,,ITA
207518,Lorenzo Musetti,R,185,ITA
211216,Cristiana Ferrando,R,,ITA
214593,Lucrezia Stefanini,U,,ITA
211333,Georgia Brescia,R,,ITA
126523,Bernabe Zapata Miralles,R,,ESP
111187,Kaichi Uchida,R,,JPN
200265,Ulises Blanch,R,,USA
202327,Marko Miladinovic,U,,SRB
144817,Marc Andrea Huesler,L,,SUI
106137,Tristan Lamasine,R,,FRA
105731,Steven Diez,R,,CAN
106408,Mario Vilella Martinez,R,,ESP
126409,Hugo Grenier,R,,FRA
201588,Anna Tatishvili,R,171,GEO
221911,Selena Janicijevic,U,,FRA
211552,Harmony Tan,R,,FRA
