max_lost,loser_name,nemesis
1,Gaston Arturo Grimolizzi,Juan Pablo Ficovich
1,Gaston Arturo Grimolizzi,Jorge Montero
7,Rafael Nadal,Novak Djokovic
1,Patrick Prader,Federico Gaio
1,Patrick Prader,Andrea Arnaboldi
1,Woong Sun Jun,Chan Yeong Oh
1,Woong Sun Jun,Yong Kyu Lim
5,Richard Gasquet,Roberto Bautista Agut
5,Richard Gasquet,Lucas Pouille
2,Rafael Arevalo,Luis David Martinez
1,Damon Gooch,Reilly Opelka
1,Damon Gooch,Eric Quigley
1,Damon Gooch,Tim Van Rijthoven
1,Damon Gooch,Gonzalo Escobar
1,Damon Gooch,Strong Kirchheimer
1,Damon Gooch,Joao Pedro Sorgi
1,Damon Gooch,Luke Bambridge
1,Damon Gooch,Ryan Haviland
1,Damon Gooch,Martin Redlicki
3,Yuuya Kibi,Duck Hee Lee
1,Yuichi Ito,Tung Lin Wu
1,Yuichi Ito,Lucas Miedler
1,Yuichi Ito,Aaron Addison
1,Yuichi Ito,Issei Okamura
1,Yuichi Ito,Sergey Betov
1,Yuichi Ito,Hiroki Kondo
1,Yuichi Ito,Alex Bolt
1,Yuichi Ito,Sho Katayama
1,Mikhail Ledovskikh,Richard Muzaev
1,Mikhail Ledovskikh,Mikhail Elgin
1,Sherif Sabry,Joris De Loore
7,Gael Monfils,Dominic Thiem
3,Denis Istomin,Pablo Carreno Busta
3,Denis Istomin,Lukas Rosol
3,Denis Istomin,Ruben Bemelmans
3,Denis Istomin,Mikhail Kukushkin
3,Denis Istomin,Laslo Djere
